seq,id,block,videoFile,condition,video,speaker,callSign,colour,number,exp.thisRepN,exp.thisTrialN,exp.thisN,exp.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,firstHalf.thisRepN,firstHalf.thisTrialN,firstHalf.thisN,firstHalf.thisIndex,secondHalf.thisRepN,secondHalf.thisTrialN,secondHalf.thisN,secondHalf.thisIndex,blocksB.thisRepN,blocksB.thisTrialN,blocksB.thisN,blocksB.thisIndex,mouseClickOnCall.x,mouseClickOnCall.y,mouseClickOnCall.leftButton,mouseClickOnCall.midButton,mouseClickOnCall.rightButton,mouseClickOnCall.time,mouseClickOnCall.clicked_name,mouseClickOnColour.x,mouseClickOnColour.y,mouseClickOnColour.leftButton,mouseClickOnColour.midButton,mouseClickOnColour.rightButton,mouseClickOnColour.time,mouseClickOnColour.clicked_name,mouseClickOnNumber.x,mouseClickOnNumber.y,mouseClickOnNumber.leftButton,mouseClickOnNumber.midButton,mouseClickOnNumber.rightButton,mouseClickOnNumber.time,mouseClickOnNumber.clicked_name,callSignCorrect,colourCorrect,numberCorrect,participant,order,date,expName,psychopyVersion,frameRate,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Un_Ge_3_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Un,Ge,3,,,,,,,,,,,,,0,0,0,0,0,0,0,18,-0.3625,0.2601851851851852,1,0,0,5.605520500001148,call1,0.001388888888888889,0.30185185185185187,1,0,0,6.128145899998344,colour1,0.4263888888888889,-0.2759259259259259,1,0,0,6.804646299999149,number4,False,True,False,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Ti_Ro_4_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Ti,Ro,4,,,,,,,,,,,,,0,0,0,0,0,1,1,11,-0.4013888888888889,-0.1175925925925926,1,0,0,5.299611300000834,call3,-0.018055555555555554,-0.09675925925925925,1,0,0,6.121081900000718,colour3,0.4152777777777778,-0.33425925925925926,1,0,0,7.00554960000045,number4,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Un_We_2_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Un,We,2,,,,,,,,,,,,,0,0,0,0,0,2,2,29,-0.42916666666666664,-0.09259259259259259,1,0,0,5.014810200000284,call3,0.027777777777777776,-0.3300925925925926,1,0,0,5.951298800000586,colour4,0.37777777777777777,0.07268518518518519,1,0,0,6.513874600001145,number2,False,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Un_Ge_4_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Un,Ge,4,,,,,,,,,,,,,0,0,0,0,0,3,3,19,-0.4125,-0.31203703703703706,1,0,0,5.576653399999486,call4,0.0375,0.31712962962962965,1,0,0,6.234963700000662,colour1,0.4125,-0.32731481481481484,1,0,0,6.89082849999977,number4,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Un_Ro_3_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Un,Ro,3,,,,,,,,,,,,,0,0,0,0,0,4,4,26,-0.3763888888888889,-0.3148148148148148,1,0,0,5.236596399998234,call4,0.009722222222222222,-0.12731481481481483,1,0,0,6.079422199998589,colour3,0.4097222222222222,-0.12314814814814815,1,0,0,7.007680499998969,number3,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Un_Gr_4_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Un,Gr,4,,,,,,,,,,,,,0,0,0,0,0,5,5,23,-0.40694444444444444,-0.3175925925925926,1,0,0,4.738478100000066,call4,0.03333333333333333,-0.15787037037037038,1,0,0,6.005225900000369,colour3,0.4444444444444444,-0.32731481481481484,1,0,0,6.4420199999985925,number4,True,False,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Ti_Ro_2_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Ti,Ro,2,,,,,,,,,,,,,0,0,0,0,0,6,6,9,-0.3611111111111111,-0.11203703703703703,1,0,0,4.994356999999582,call3,0.0375,0.3060185185185185,1,0,0,7.010457700000188,colour1,0.4513888888888889,0.06574074074074074,1,0,0,7.835976800000935,number2,True,False,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Ti_Ro_3_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Ti,Ro,3,,,,,,,,,,,,,0,0,0,0,0,7,7,10,-0.37222222222222223,-0.14953703703703702,1,0,0,5.104384799999025,call3,0.015277777777777777,-0.09953703703703703,1,0,0,5.6002343999989534,colour3,0.4791666666666667,-0.11203703703703703,1,0,0,5.9883564000010665,number3,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp01_Un_We_3_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp01,Un,We,3,,,,,,,,,,,,,0,0,0,0,0,8,8,30,-0.4486111111111111,-0.10092592592592593,1,0,0,5.092244199999186,call3,0.018055555555555554,-0.28703703703703703,1,0,0,5.535921199998484,colour4,0.4222222222222222,-0.1537037037037037,1,0,0,6.184370200000558,number3,False,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
2,1,flow/blocks/NVocInAudio_GlobalThetaInVideo_B.csv,video/Experiment/zh_sp07_Un_Ro_1_NVocInAudio_GlobalThetaInVideo.avi,vocoded,plusVideo,sp07,Un,Ro,1,,,,,,,,,,,,,0,0,0,0,0,9,9,24,-0.4125,-0.3384259259259259,1,0,0,4.513987399999678,call4,0.008333333333333333,-0.0912037037037037,1,0,0,4.978882199999134,colour3,0.49444444444444446,0.3212962962962963,1,0,0,5.453839699999662,number1,True,True,True,111,2,2019_Nov_08_1528,MA_Theta_Exp,3.0.7,60.16810969849727,
